127.0.0.1 - - [13/Jun/2019:09:35:24 +0900] "GET / HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:35:24 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:35:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:38:19 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:39:04 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:39:05 +0900] "GET /images/hu.jpg HTTP/1.1" 200 6563
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:41:20 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:43:10 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:43:42 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:44:05 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:44:09 +0900] "GET /js_basic/position_1.html?5 HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:53:29 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:53:29 +0900] "GET /js/myScript.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:06 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:06 +0900] "GET /js/myScript.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:51 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:54:51 +0900] "GET /js/myScript.js HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:56:50 +0900] "GET /js_basic/position_1.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:56:50 +0900] "GET /js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:09:57:07 +0900] "GET /js_basic/position_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:08:14 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:08:45 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:11:50 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:12:11 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:13:26 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:13:28 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:14:03 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:16:46 +0900] "GET /js_basic/dataType1.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [13/Jun/2019:10:48:21 +0900] "GET /js_basic/variable_1.html HTTP/1.1" 200 1233
