127.0.0.1 - - [10/Jun/2019:09:40:13 +0900] "GET / HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:13 +0900] "GET /html_list/listTag_1.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:40:52 +0900] "GET /html_list/listTag_1.html?1 HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [10/Jun/2019:09:45:33 +0900] "GET /html_list/listTag_1.html?mem_id=test&mem_pw=123 HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:14:48 +0900] "GET /html_list/listTag_2.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:45:44 +0900] "GET /html_semantic/beforeSemantic.html HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:45:51 +0900] "GET /html_list/listTag_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:45:54 +0900] "GET /html_day2/innerHTMLTest.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:53:43 +0900] "GET /html_semantic/afterSemantic.html HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [10/Jun/2019:10:54:17 +0900] "GET /html_semantic/afterSemantic.html?! HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:00:41 +0900] "GET /html_definition/definition_1.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:02:42 +0900] "GET /html_definition/definition_1.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:08:56 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:10:21 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:11:32 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:13:27 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:15:19 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:15:51 +0900] "GET /html_table/table_1.html HTTP/1.1" 200 630
