127.0.0.1 - - [04/Jul/2019:10:22:19 +0900] "GET / HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:22:20 +0900] "GET /ajax/pizza/customerInfo.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:22:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:22:38 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:22:38 +0900] "GET /ajax/pizza/breakneck-logo.gif HTTP/1.1" 200 23063
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:28:32 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:28:50 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:29:40 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:30:35 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:38:31 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:40:05 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:45:10 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [04/Jul/2019:10:45:12 +0900] "GET /ajax/pizza/customerInfo.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:03:15 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:03:18 +0900] "GET /ajax/pizza/customerInfo.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Jul/2019:11:03:56 +0900] "GET /ajax/pizza/pizza.html HTTP/1.1" 200 2350
